scraping_timestamp,league,date,time,home,away,status,team,position,player,playing
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,FW,Y. Touzghar,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,FW,R. Hamouma,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,M,Y. Cimignani,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,D,F. Mayembo,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,M,K. Spadanuda,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,GK,Pau Lopez,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,DC,C. Mbemba,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,DC,S. Kolasinac,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,DC,L. Balerdi,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,ML,Nuno Tavares,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,MC,Pape Gueye,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,MC,M. Guendouzi,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,MR,J. Clauss,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,AMC,Cengiz Under,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,AMC,Amine Harit,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,FW,A. Sanchez,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,F,A. Dieng,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,D,Samuel Gigot,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Marseille,D,Eric Bailly,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,GK,S. Mandanda,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,DL,A. Truffert,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,DC,Joe Rodon,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,DC,A. Theate,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,DR,H. Traore,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,ML,K. Sulemana,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,MC,Flavien Tait,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,MC,Desire Doue,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,MR,B. Bourigeaud,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,FW,M. Terrier,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,FW,Amine Gouiri,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,F,A. Kalimuendo Muinga,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,G,Alfred Gomis,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,D,Warmed Omari,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Marseille,Rennes,Expected Lineup,Rennes,M,B. Santamaria,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,GK,K. Schmeichel,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,DL,Melvin Bard,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,DC,J. Todibo,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,DC,Dante,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,DR,J. Lotomba,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,ML,Sofiane Diop,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,MC,K. Thuram,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,MC,A. Beka Beka,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,MR,Nicolas Pepe,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,FW,Andy Delort,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,FW,G. Laborde,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,M,Aaron Ramsey,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Nice,M,M. Schneiderlin,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,GK,Yahia Fofana,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,DL,S. Doumbia,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,DC,C. Hountondji,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,DC,Miha Blazic,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,DR,Yan Valery,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,DMC,B. Mendy,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,DMC,N. Bentaleb,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,AML,S. Boufal,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,AMC,Adrien Hunou,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,AMR,A. Ounahi,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,FW,A. Sima,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,M,I. Amadou,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,M,U. Eneme Ella,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Nice,Angers,Expected Lineup,Angers,D,H. Sabanovic,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,GK,Mory Diaw,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,DC,M. Wieteska,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,DC,Alidu Seidu,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,DC,M. Caufriez,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,ML,Neto,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,MC,Y. Magnin,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,MC,J. Gastien,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,MR,Jeremie Bela,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,AMC,M. Cham,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,AMC,Jodel Dossou,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,FW,K. Andric,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,F,J. Allevinah,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Clermont Foot,D,M. Zeffane,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Troyes,GK,G. Gallon,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Troyes,DL,Y. Larouci,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Clermont Foot,Troyes,Expected Lineup,Troyes,DC,Adil Rami,YES
